Twitter Handle,Display Name,Score,Tier,Bio (first 100 chars),Message,Outreach ID,Stage,Status,Sent At
zk_wizard,ZK Wizard,98.5,cold,Building next-gen DeFi primitives. Solidity dev. Contact at zk_wizard.eth or wallet: 0x1836b5591bbcb,"Hi ZK Wizard, saw your bio mentioning 'Building next-gen DeFi primitives. Solid...'. Love the perspective on Web3 and automation. We are developing some custom pipelines for high-fit X leads—would love to get your feedback!",1,day_1_pitch,sent,2026-06-03T17:27:39.595376+00:00
0xalchemist,Elena Alchemist,98.5,cold,Building next-gen DeFi primitives. Solidity dev. Contact at 0xalchemist.eth or wallet: 0x71fbab1b6aa,"Hi Elena Alchemist, saw your bio mentioning 'Building next-gen DeFi primitives. Solid...'. Love the perspective on Web3 and automation. We are developing some custom pipelines for high-fit X leads—would love to get your feedback!",2,day_1_pitch,sent,2026-06-03T17:27:40.602721+00:00
eth_maximalist,Vitalik Fan,98.5,cold,Building next-gen DeFi primitives. Solidity dev. Contact at eth_maximalist.eth or wallet: 0xfdc549d7,"Hi Vitalik Fan, saw your bio mentioning 'Building next-gen DeFi primitives. Solid...'. Love the perspective on Web3 and automation. We are developing some custom pipelines for high-fit X leads—would love to get your feedback!",3,day_1_pitch,sent,2026-06-03T17:27:41.579710+00:00
base_builder,Marcus Base,98.4,cold,Building next-gen DeFi primitives. Solidity dev. Contact at base_builder.eth or wallet: 0x04c4abee73,"Hi Marcus Base, saw your bio mentioning 'Building next-gen DeFi primitives. Solid...'. Love the perspective on Web3 and automation. We are developing some custom pipelines for high-fit X leads—would love to get your feedback!",4,day_1_pitch,sent,2026-06-03T17:27:42.559677+00:00
defi_princess,Sarah DeFi,98.4,cold,Building next-gen DeFi primitives. Solidity dev. Contact at defi_princess.eth or wallet: 0x3aea571ee,"Hi Sarah DeFi, saw your bio mentioning 'Building next-gen DeFi primitives. Solid...'. Love the perspective on Web3 and automation. We are developing some custom pipelines for high-fit X leads—would love to get your feedback!",5,day_1_pitch,sent,2026-06-03T17:27:43.521856+00:00
agent_dev_0x,Agent Dev,98.3,cold,Building next-gen DeFi primitives. Solidity dev. Contact at agent_dev_0x.eth or wallet: 0x2e6e7435a7,"Hi Agent Dev, saw your bio mentioning 'Building next-gen DeFi primitives. Solid...'. Love the perspective on Web3 and automation. We are developing some custom pipelines for high-fit X leads—would love to get your feedback!",6,day_1_pitch,sent,2026-06-03T17:27:44.490978+00:00
uniswap_hooker,Uniswap Hook Dev,98.3,cold,Building next-gen DeFi primitives. Solidity dev. Contact at uniswap_hooker.eth or wallet: 0x76b89abb,"Hi Uniswap Hook Dev, saw your bio mentioning 'Building next-gen DeFi primitives. Solid...'. Love the perspective on Web3 and automation. We are developing some custom pipelines for high-fit X leads—would love to get your feedback!",7,day_1_pitch,sent,2026-06-03T17:27:45.466629+00:00
solidity_guru,Raj Solidity,98.3,cold,Building next-gen DeFi primitives. Solidity dev. Contact at solidity_guru.eth or wallet: 0x4da9f6a9e,"Hi Raj Solidity, saw your bio mentioning 'Building next-gen DeFi primitives. Solid...'. Love the perspective on Web3 and automation. We are developing some custom pipelines for high-fit X leads—would love to get your feedback!",8,day_1_pitch,sent,2026-06-03T17:27:46.453684+00:00
zk_wizard,ZK Wizard,98.5,cold,Building next-gen DeFi primitives. Solidity dev. Contact at zk_wizard.eth or wallet: 0x1836b5591bbcb,"ZK, I wanted to personally reach out and thank you for considering Trovr.ai - your unique ENS name 0x1836b5.eth initially caught my eye, and I'm glad we got to connect, even if we didn't find a fit this time.",17,day_7_breakup,sent,2026-06-14T17:23:44.544944+00:00
eth_maximalist,Vitalik Fan,98.5,cold,Building next-gen DeFi primitives. Solidity dev. Contact at eth_maximalist.eth or wallet: 0xfdc549d7,"Vitalik Fan, really appreciated the interest in Trovr.ai, but since we haven't heard back, I'm closing your slot - loved seeing your Uniswap v4 hook go live on Base, hope our paths cross again soon.",18,day_7_breakup,sent,2026-06-14T17:23:47.106453+00:00
